seller_id,cuenta,item_id,title,catalog_product_id,listing_type_id,price,available_quantity,status,permalink,thumbnail,date_created,last_updated
483904870,C2,MLC1643955849,Válvula De Descarga Dual Flush Para Estanque Tradicional,MLC27509195,gold_special,14807,1,active,https://articulo.mercadolibre.cl/MLC-1643955849-valvula-de-descarga-dual-flush-para-estanque-tradicional-_JM,http://http2.mlstatic.com/D_798332-MLA99558050884_122025-I.jpg,2025-07-11T12:21:50.779Z,2026-05-25T23:40:28.262Z
483904870,C2,MLC2764840802,Shower Door 80x80x195 Cm Curvo Mosaico Negro + Columna Ducha Transparente Con Diseño Negro,MLC39087202,gold_special,400000,0,paused,https://articulo.mercadolibre.cl/MLC-2764840802-shower-door-80x80x195-cm-curvo-mosaico-negro-columna-ducha-transparente-con-diseno-negro-_JM,http://http2.mlstatic.com/D_611192-MLU77990468562_082024-I.jpg,2024-11-05T11:57:38.176Z,2026-03-09T16:12:14.572Z
483904870,C2,MLC1885207432,Set De Lavaplatos Desagüe Con Rebalse Y Drenaje 3 1/2 Color Gris,MLC26214985,gold_special,400000,0,paused,https://articulo.mercadolibre.cl/MLC-1885207432-set-de-lavaplatos-desague-con-rebalse-y-drenaje-3-12-color-gris-_JM,http://http2.mlstatic.com/D_667458-MLU71171619943_082023-I.webp,2023-08-20T02:52:53.993Z,2026-03-13T20:39:56.661Z
483904870,C2,MLC3973021446,"Desague De Lavaplatos 3 1/2 O 11,4 Cm O 114 Mm Plateado",MLC69633274,gold_special,6197,45,active,https://articulo.mercadolibre.cl/MLC-3973021446-desague-de-lavaplatos-3-12-o-114-cm-o-114-mm-plateado-_JM,http://http2.mlstatic.com/D_951503-MLA110698044030_052026-I.webp,2026-05-14T12:03:29.372Z,2026-05-25T23:40:41.251Z
483904870,C2,MLC2992421498,1 Paquete De Toalla Interfoliada 200 U,MLC35897660,gold_special,2774,261,active,https://articulo.mercadolibre.cl/MLC-2992421498-1-paquete-de-toalla-interfoliada-200-u-_JM,http://http2.mlstatic.com/D_765310-MLA99371783264_112025-I.jpg,2025-07-25T20:25:07.032Z,2026-05-25T23:13:45.325Z
483904870,C2,MLC1926755618,Lavaplatos Doble 78x43cm Llave Domenica Full Accesorios Color Plateado,MLC26692551,gold_special,400000,0,paused,https://articulo.mercadolibre.cl/MLC-1926755618-lavaplatos-doble-78x43cm-llave-domenica-full-accesorios-color-plateado-_JM,http://http2.mlstatic.com/D_911562-MLU71424540695_082023-I.jpg,2023-09-01T12:13:11.000Z,2026-03-20T02:35:48.241Z
483904870,C2,MLC1926281634,Lavaplatos Doble 100x48cm Llave Flex Verde Full Accesorios,MLC26692562,gold_special,400000,0,paused,https://articulo.mercadolibre.cl/MLC-1926281634-lavaplatos-doble-100x48cm-llave-flex-verde-full-accesorios-_JM,http://http2.mlstatic.com/D_699246-MLU71379583618_082023-I.webp,2023-09-01T12:47:39.000Z,2026-05-23T10:53:10.433Z
483904870,C2,MLC3734355350,Válvula De Carga Para Estanque Wc Con Flotador,MLC2046010486,gold_special,6890,1,active,https://articulo.mercadolibre.cl/MLC-3734355350-valvula-de-carga-para-estanque-wc-con-flotador-_JM,http://http2.mlstatic.com/D_748694-MLA107650157308_032026-I.webp,2026-03-10T02:43:23.910Z,2026-05-25T23:40:38.206Z
483904870,C2,MLC2642563882,Lavaplatos Empotrado Doble 120x50 Izquierdo Accesorios Color Plateado,MLC38887335,gold_special,400000,0,paused,https://articulo.mercadolibre.cl/MLC-2642563882-lavaplatos-empotrado-doble-120x50-izquierdo-accesorios-color-plateado-_JM,http://http2.mlstatic.com/D_789314-MLU78150107161_082024-I.jpg,2024-08-06T12:22:46.034Z,2026-03-23T20:23:39.849Z
483904870,C2,MLC3790120208,Mezcladora De Baño Victtorino Monocomando De Acero Inoxidable Cromado Brillante Para Ducha Empotrada,MLC66202132,gold_special,38456,3,active,https://articulo.mercadolibre.cl/MLC-3790120208-mezcladora-de-bano-victtorino-monocomando-de-acero-inoxidable-cromado-brillante-para-ducha-empotrada-_JM,http://http2.mlstatic.com/D_710162-MLA108190225109_032026-I.webp,2026-03-23T17:26:31.892Z,2026-05-13T19:26:01.274Z
