SKU_Seller,SKU_Falabella,Nombre,Marca,Modelo,Material,Color,Dimensiones,Peso,Tipo_instalacion,Garantia,Pais_origen,Acabado,Cod_universal,Condicion,N_fotos,Foto_1,Foto_2,Foto_3,Foto_4,Foto_5,Foto_6,Foto_7,Foto_8,Carpeta_fotos
020201005-T1,152324732,Organizador De Ducha Esquinero Triangular Bano,Trade,Muro Triangular Esquinero,Acero inoxidable,Metal,Paquete 22 x 23 x 6 cm (largo x ancho x alto),1000 g,Esquinero,Garantía legal 6 meses,China,,0867467324236,Nuevo,4,020201005-T1_01.jpg,020201005-T1_02.jpg,020201005-T1_03.jpg,020201005-T1_04.jpg,,,,,falabella_fotos_listo/020201005-T1/
010301018-T1,146703555,SELLO ANTIFUGA - MIRAGE,Trade,Sello Antifuga,Goma,Blanco,Paquete 4 x 15 x 15 cm (largo x ancho x alto),300 g,,Garantía legal 6 meses,China,,9427517116511,Nuevo,4,010301018-T1_01.jpg,010301018-T1_02.jpg,010301018-T1_03.jpg,010301018-T1_04.jpg,,,,,falabella_fotos_listo/010301018-T1/
010701003-T1,143104631,Dispensador Toalla De Papel Interfoliado Plastico,Trade,Dispensador Toalla Interfoliada,Acrílico,Plateado,Ancho: 26 cm x Altura: 20.5 cm x Profundidad: 10 cm,640 g,Mural,Garantía legal 6 meses,China,,7528530107592,Nuevo,7,010701003-T1_01.jpg,010701003-T1_02.jpg,010701003-T1_03.jpg,010701003-T1_04.jpg,010701003-T1_05.jpg,010701003-T1_06.jpg,010701003-T1_07.jpg,,falabella_fotos_listo/010701003-T1/
010301004-T1,143573701,Kit Para Estanque WC Carga Descarga Y Fijaciones,Trade,Kit de Estanque WC,Acero inoxidable,Blanco y Azul,Paquete 35.2 x 16.8 x 8.4 cm (largo x ancho x alto),580 g,,Garantía legal 6 meses,China,,752853008299,Nuevo,4,010301004-T1_01.jpg,010301004-T1_02.jpg,010301004-T1_03.jpg,010301004-T1_04.jpg,,,,,falabella_fotos_listo/010301004-T1/
010701011-T1,143573665,Dispensador Jabon Simple Mejorado 360 ml,Trade,dispensador de jabon,Acero inoxidable,Blanco,Aprox. 25 x 15 x 15 cm; capacidad 360 ml,1000 g,De mesón,Garantía legal 6 meses,China,,3547915762342,Nuevo,5,010701011-T1_01.jpg,010701011-T1_02.jpg,010701011-T1_03.jpg,010701011-T1_04.jpg,010701011-T1_05.jpg,,,,falabella_fotos_listo/010701011-T1/
020202008-T1,143566300,Desague Lavaplatos 3 1/2 Rebalse,Trade,Desague Lavaplatos,Acero inoxidable,Plateado,"Diámetro: 3 1/2"" (≈ 8,9 cm)",200 g,,Garantía legal 6 meses,China,Acero inoxidable,4443562617501,Nuevo,6,020202008-T1_01.jpg,020202008-T1_02.jpg,020202008-T1_03.jpg,020202008-T1_04.jpg,020202008-T1_05.jpg,020202008-T1_06.jpg,,,falabella_fotos_listo/020202008-T1/
030102002-T1,146932883,FLEXIBLE GAS HI HI 3/8 1/2 100 CM,Trade,,"Malla metálica de acero, tubo interior PVC",Plateado,"Largo: 100 cm (conexión 3/8"" x 1/2"")",1000 g,,Garantía legal 6 meses,China,,7885409138980,Nuevo,4,030102002-T1_01.jpg,030102002-T1_02.jpg,030102002-T1_03.jpg,030102002-T1_04.jpg,,,,,falabella_fotos_listo/030102002-T1/
030102003-T1,146935020,FLEXIBLE GAS HI HI 3/8 1/2 60 CM,Trade,,"Malla metálica de acero, tubo interior PVC",Plateado,"Largo: 60 cm (conexión 3/8"" x 1/2"")",600 g,,Garantía legal 6 meses,China,,659576791210,Nuevo,4,030102003-T1_01.jpg,030102003-T1_02.jpg,030102003-T1_03.jpg,030102003-T1_04.jpg,,,,,falabella_fotos_listo/030102003-T1/
010602001-T1,146722720,DESAGUE TINA 1 1/2 REBALSE PLASTICO,Trade,Desague Para Tina,Plástico,Blanco,Ancho: 18 cm x Altura: 31 cm,330 g,,Garantía legal 6 meses,China,,8817383929468,Nuevo,5,010602001-T1_01.jpg,010602001-T1_02.jpg,010602001-T1_03.jpg,010602001-T1_04.jpg,010602001-T1_05.jpg,,,,falabella_fotos_listo/010602001-T1/
010301015-T1,146703258,VALVULA DE CARGA LATERAL,Trade,Valvula para WC,De alta resistencia y durabilidad,Blanco,"Alto regulable ~18-28 cm; entrada lateral 1/2""",300 g,,Garantía legal 6 meses,China,,7922412290264,Nuevo,5,010301015-T1_01.jpg,010301015-T1_02.jpg,010301015-T1_03.jpg,010301015-T1_04.jpg,010301015-T1_05.jpg,,,,falabella_fotos_listo/010301015-T1/
010703008-T1,146228456,ESPEJO 60X90 RECTANGULAR ONDAS,Trade,Ondas,Cristal espejado,Plateado,60 x 90 cm,8465 g,Mural,Garantía legal 6 meses,China,,7528530128450,Nuevo,5,010703008-T1_01.jpg,010703008-T1_02.jpg,010703008-T1_03.jpg,010703008-T1_04.jpg,010703008-T1_05.jpg,,,,falabella_fotos_listo/010703008-T1/
030102004-T1,146955850,LLAVE PASO GAS HI HE 12,Trade,hi-he-12,Bronce,Plateado,Paquete 3 x 7 x 9 cm (largo x ancho x alto),300 g,,Garantía legal 6 meses,China,,6012451949030,Nuevo,4,030102004-T1_01.jpg,030102004-T1_02.jpg,030102004-T1_03.jpg,030102004-T1_04.jpg,,,,,falabella_fotos_listo/030102004-T1/
020201001-T1,146823515,CODO LAVAPLATOS SALIDA SIFON,Trade,Sifón Codo 90,Plástico,Blanco,Paquete 5 x 5 x 9 cm (largo x ancho x alto),300 g,,Garantía legal 6 meses,China,Blanco,2852165546552,Nuevo,4,020201001-T1_01.jpg,020201001-T1_02.jpg,020201001-T1_03.jpg,020201001-T1_04.jpg,,,,,falabella_fotos_listo/020201001-T1/
010103003-T1,143573675,Brazo De Ducha Para Plato Acero Inoxidable 40 Cms,Trade,Brazo De Ducha 40 Cm,Acero inoxidable,Cromado,Largo: 40 cm,280 g,Mural,Garantía legal 6 meses,China,,752853010087,Nuevo,4,010103003-T1_01.jpg,010103003-T1_02.jpg,010103003-T1_03.jpg,010103003-T1_04.jpg,,,,,falabella_fotos_listo/010103003-T1/
010801004-T1,143573423,Kit Completo Ducha Bidet Arabe,Trade,Kit Bidet Árabe,ABS y latón cromado,Cromado,Paquete 29 x 18 x 5.4 cm (largo x ancho x alto),480 g,Mural,Garantía legal 6 meses,China,,752853001627,Nuevo,4,010801004-T1_01.jpg,010801004-T1_02.jpg,010801004-T1_03.jpg,010801004-T1_04.jpg,,,,,falabella_fotos_listo/010801004-T1/
030101051-T1,146928175,FLEXIBLE AGUA HE HI 1/2 35 CM,Trade,HI-HE 35 cm,"Malla de acero inoxidable 304, tubo interior PVC",Plateado,"Largo: 35 cm (conexión 1/2"")",100 g,,Garantía legal 6 meses,China,,752853002068,Nuevo,4,030101051-T1_01.jpg,030101051-T1_02.jpg,030101051-T1_03.jpg,030101051-T1_04.jpg,,,,,falabella_fotos_listo/030101051-T1/
