Codigo,Descripcion,Costo compra (CLP),Costo reposicion (CLP)
030102004-K,PACK 6 PAPEL HIGIENICO,5000,0
030102004-T,LLAVE PASO GAS HI HE 1/2,1964,0
03012053-T,FLEXIBLE GAS HI-HI 1/2 40 CM,1,0
030400201-T,Toallero Aro Swertt,2140,0
030800200-T,Porta Toalla Muro Chico,10428,10428
031200500-T,BARRA 135 JABONERA,0,0
031500100-T,Dispensador Jabon al muro 500,5157,5157
040101001-C,VALVULA DESVIO DIVERTER 3 VIAS 1/2 3/8,7767,0
040201006-T,LLAVE MONOMANDO LAVAPLATOS VERTICAL COLOMBA,6008,0
040201007-T,LLAVE MONOMANDO LAVAPLATOS VERTICAL DOMENICA,9125,0
040201008-T,LLAVE MONOMANDO LAVAPLATOS VERTICAL INOX,11001,0
040201009-T,LLAVE MONOMANDO LAVAPLATOS VERTICAL NOTTE NEGRO,10566,0
040201012-T,COMBINACIÓN LPLATO EN V VANDER MUY MEJOR,7102,0
040202002-T,LLAVE MONOMANDO LAVATORIO ALTO NOTTE NEGRO,15098,0
040202003-T,LLAVE MONOMANDO LAVATORIO ALTO MODERN PALETA INOX,13169,0
040202004-T,LLAVE MONOMANDO LAVATORIO ALTO MODERN PITUTO CROMADO,14616,0
040202005-T,LLAVE MONOMANDO LAVATORIO COLOMBA,5489,0
040202006-T,LLAVE MONOMANDO LAVATORIO DOMENICA,8033,0
040202007-T,LLAVE MONOMANDO LAVATORIO MODERN PALETA INOX,9449,0
040202008-T,LLAVE MONOMANDO LAVATORIO MODERN PITUTO CROMADO,11291,0
040203001-T,LLAVE MONOMANDO DUCHA AL MURO NOTTE NEGRO,10633,0
040203004-T,LLAVE MONOMANDO DUCHA DOMENICA,10519,0
040203005-T,LLAVE MONOMANDO DUCHA EMPOTRADA DUSSELDORF,10568,0
040203007-T,LLAVE MONOMANDO DUCHA COLOMBA,8611,0
040203017-C,LLAVE MONOMANDO LAVATORIO ALTO MODERN PITUTO CROMADO,10133,0
040204002-T,LLAVE MONOMANDO TINA DUCHA DOMENICA,14754,0
040204003-T,LLAVE MONOMANDO TINA DUCHA COLOMBA,11060,0
040301002-T,LLAVE TEMPORIZADA LAVATORIO AL MURO,8888,0
040301003-T,LLAVE TEMPORIZADA LAVATORIO PUNTA CUADRADA CILINDRICA,9207,0
040302001-T,VALVULA DESCARGA TEMPORIZADA URINARIO,6911,0
040303003-T,FLUXOMETRO PALANCA POSTERIOR 1,38984,0
040303004-T,FLUXOMETRO PALANCA SUPERIOR 1,44554,0
040501002-T,CUELLO CISNE,9268,0
040501005-T,FLEXIBLE LLAVE PROFESIONAL,1813,0
040501006-T,Valvula Pedal Simple,10650,0
041006002-T,Desague Automatico Lavatorio Comun,3827,3827
041910301-T,Desague al Piso Invisible 30x10,5905,5905
050433422-T,Flexible HI-HE 1/2 35 cm,1025,1025
050433621-T,Flexible HI-HE 1/2 50 cms,1174,1
1,REPUESTO,1,0
100501025-T,Base curva 80x80,15000,0
100501026-T,Base curva 90x90,25000,0
100501027-T,Base curva 80x120 Der.,35000,0
100501028-T,Base curva 80x120 Izq.,35000,0
210000990-T,Asiento WC Eco,2007,0
915100105,Rejilla Lavaplatos Agustina,3490,1000
915100108,Rejilla Lavaplatos Giacommo,2000,0
915100109,Rejilla Michele,2000,0
915100110,Canastillo Pascal,4000,0
915100111,Rejilla Lavaplatos Fabricio,3490,0
915100123,Pack Plato Ducha Modern Cuadrado + Brazo Metalico al muro 30 cms,7765,7765
915100128,Lavaplatos empotrado ancho Hamburgo,32273,35273
915100130,Asiento WC Colomba,3128,3128
915100131,Niple Tuerca Hi-He 1/2 x 3/8 Golilla,459,459
915100132,Campana para llave angular WC 1/2,353,353
915100136,Lavaplatos Satriani Plateado Doble,18000,36000
915100137,Lavaplatos Satriani Riñon,20000,40000
915100138,Lavaplatos Satriani 50x40 Doble,12000,24000
TZ-2003,Llave Satriani Lavamanos cromo,6500,6500
TZ-2004,Llave Satriani Lavamanos negra,6500,6500
TZ-2005,Llave Satriani Lavaplato Cromo,8000,8000
TZ-2006,Llave Satriani Lavaplato Negra,8000,0
TZ-3001,Llave Vanitorio Alta Cromo,13000,13000
TZ-3002,Llave Satriani Vanitorio Alta Negro,13000,13000
TZ-3004,Llave Satriani Lavaplato Plana Negro,13000,13000
TZ-3431,Lavamanos Invitados Blanco,20000,20000
TZ-5059,Lavamanos Marmol Blanco,30000,30000
TZ-5060,Lavamanos Marmol Gris,30000,30000
TZ-5061,Lavamanos Marmol Onyx,30000,30000
